order,family,subfamily,genus,subgenus,species,spauthor,year_described,common_name,gaa_name,syn1,syn2,syn3,syn4,syn5,syn6,itis_names,iucn,isocc,Genus_species,Tympanic.membrane,Tympanic.annulus,Columella,Collapsed_SVL,Microhabitat,Source,alt_mean,alt_min,alt_max,latitude_mean,latitude_min,latitude_max,mean_temp,min_temp,max_temp,df,ActiveTime,ear
Anura,Allophrynidae,,Allophryne,,ruthveni,"Gaige, 1926",NA,Tukeit-Hill Frog,Allophryne ruthveni,Sphaenorhynchus_seabrai,_Sphoenohyla_seabrai,_Dryomelictes_seabrai_,NA,NA,NA,"Sphaenorhynchus seabrai, Sphoenohyla seabrai",Least Concern (LC),"VE,SR,GY,GF,BR",Allophryne_ruthveni,1,1,1,31,arboreal,AmphibiaWeb 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,5089,D_C_N,Y
Anura,Alsodidae,,Alsodes,,barrioi,"Veloso, Diaz, Iturra-Constant & Penna, 1981",NA,,Alsodes barrioi,,NA,NA,NA,NA,NA,,Endangered (EN),CL,Alsodes_barrioi,0,0,0,59.9,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Alsodidae,,Alsodes,,coppingeri,"(Günther, 1881)",2008,,,Eupsophus_coppingeri,NA,NA,NA,NA,NA,Eupsophus coppingeri,Data Deficient (DD),CL,Alsodes_coppingeri,0,0,0,44,terrestrial,Formas et al. 2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Alsodidae,,Alsodes,,gargola,"Gallardo, 1970",NA,,Alsodes gargola,,NA,NA,NA,NA,NA,,Least Concern (LC),"AR,CL",Alsodes_gargola,0,0,0,50,semi.aquatic,IUCN 2014,1139.090909,759,1842,-40.73839091,-41.84697,-38.05513,68.63636364,46,111,NA,__,N
Anura,Alsodidae,,Alsodes,,nodosus,"(Duméril & Bibron, 1841)",NA,,Alsodes nodosus,Eupsophus_illotus,_Eupsophus_nodosus,NA,NA,NA,NA,"Eupsophus illotus, Eupsophus nodosus",Near Threatened (NT),"AR,CL",Alsodes_nodosus,0,1,1,58.5,NA,NA,1479,1479,1479,-33.5,-33.5,-33.5,89,89,89,991,__,Y
Anura,Alsodidae,,Alsodes,,pehuenche,"Cei, 1976",NA,,Alsodes pehuenche,,NA,NA,NA,NA,NA,,Critically Endangered (CR),"AR,CL",Alsodes_pehuenche,0inf,0inf,0,52.2,aquatic,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Alsodidae,,Alsodes,,tumultuosus,"Veloso, Iturra-Constant & Galleguillos-G., 1979",NA,,Alsodes tumultuosus,,NA,NA,NA,NA,NA,,Vulnerable (VU),CL,Alsodes_tumultuosus,0,0,0,61.5,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,__,N
Anura,Alsodidae,,Alsodes,,valdiviensis,"Formas, Cuevas & Brieva, 2002",2002,,Alsodes valdiviensis,,NA,NA,NA,NA,NA,,Endangered (EN),CL,Alsodes_valdiviensis,0,0,0,63.4,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Alsodidae,,Alsodes,,vanzolinii,"(Donoso-Barros, 1974)",NA,Vanzolini's Spiny-Chest Frog,Alsodes vanzolinii,,NA,NA,NA,NA,NA,,Endangered (EN),CL,Alsodes_vanzolinii,0inf,0inf,0,54.4,terrestrial,AmphibiaWeb 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Alsodidae,,Eupsophus,,emiliopugini,"Formas, 1989",NA,,Eupsophus emiliopugini,,NA,NA,NA,NA,NA,,Least Concern (LC),CL,Eupsophus_emiliopugini,?,1,1inf,51.25,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132.08,__,Y
Anura,Alsodidae,,Eupsophus,,roseus,"(Duméril & Bibron, 1841)",NA,,Eupsophus roseus,Eupsophus_contulmoensis,_Eupsophus_nahuelbutensis,_Eupsophus_septentrionalis,_Eupsophus_sylvestris,_Cystignathus_roseus,_Cystignathus_sylvestris,"Eupsophus sylvestris, Cystignathus roseus, Cystignathus sylvestris",Least Concern (LC),"CL,AR",Eupsophus_roseus,1,1,1,44.7,terrestrial,IUCN 2014,97,97,97,-37.79519,-37.79519,-37.79519,122,122,122,1871,__,Y
Anura,Alsodidae,,Eupsophus,,vertebralis,"Grandison, 1961",1961,,Eupsophus vertebralis,,NA,NA,NA,NA,NA,,Least Concern (LC),CL,Eupsophus_vertebralis,1,1,1,0,terrestrial,IUCN 2014,34.5,12,57,-40.195235,-40.56103,-39.82944,114,109,119,932,__,Y
Anura,Alsodidae,,Limnomedusa,,macroglossa,"(Duméril & Bibron, 1841)",NA,,Limnomedusa macroglossa,Limnomedusa_misionis,_Cystignathus_macroglossus,_Litopleura_maritimum,NA,NA,NA,"Limnomedusa misionis, Cystignathus macroglossus, Litopleura maritimum",Least Concern (LC),"UY,BR,AR",Limnomedusa_macroglossa,0,1,1,51,NA,NA,174.8928571,25,560,-29.37603643,-34.88333,-25.66569,189.8928571,163,210,NA,__,Y
Anura,Alytidae,Alytinae,Alytes,Ammoryctis,cisternasii,"Boscá, 1879",NA,"Iberian Midwife Toad, Ibersiche geburtshelferkroete, Gripau paridor ibèrec, Iberisk Fødselshjælperfrø, Ibeeria köidikkonn, sapo partero ibérico, sapo partero de cisternas, Apotzar, Alyte de cisternas,",Alytes cisternasii,,NA,NA,NA,NA,NA,,Least Concern (LC),"ES,PT",Alytes_cisternasii,?,1,1inf,50,burrowing,AmphibiaWeb 2016,535.3088737,8,1791,39.02978516,37.15,41.93,149.9165247,85,183,1491.1,__N,Y
Anura,Alytidae,Alytinae,Alytes,Alytes,obstetricans,"(Laurenti, 1768)",NA,"Midwife Toad, Tòtil, Gripau llevador, Fødselshjælperfrø, geburtshelferkroete, glockenfrosch, harilik köidikkonn, sapo partero comùn, txantxiku arrunta, alyte accoucheur, crapaud accroucheur, sapo part",Alytes obstetricans,,NA,NA,NA,NA,NA,,Least Concern (LC),"BE,FR,DE,IT,LU,NL,PT,ES,CH,GB",Alytes_obstetricans,1,1,1,55,NA,NA,644.039176,-1,2811,43.38976072,37.97,52.00142,111.4883956,5,182,1148.9,_C_N,Y
Anura,Alytidae,Discoglossinae,Discoglossus,,montalentii,"Lanza, Nascetti, Capula & Bullini, 1984",NA,"Corsican Painted Frog, Discoglosse corse, Korsika ketaskeelkonn, Discoglosso di Montalenti, Corsicaanse Schijftongkikker",Discoglossus montalentii,Discoglossus_montalenti,NA,NA,NA,NA,NA,Discoglossus montalenti,Near Threatened (NT),FR,Discoglossus_montalentii,?,1,1inf,65,aquatic,IUCN 2014,809.2,93,2076,41.976354,41.68479,42.16682,113.8,76,139,1200,D__N,Y
Anura,Alytidae,Discoglossinae,Discoglossus,,sardus,"Tschudi, 1837",NA,"Tyrrhenian painted frog, Discoglosse sarde, Sardischer scheibenzüngler, Sapillo pintojo de Cerdeña, Thyrrensk Malet frø, Sardi ketaskeelkonn, Discoglosso sardo, Discoglosso tirrenico, Sardijnse Schijftongkikker, Tyrrhenankirjosammako, Tyrrensk Skivtunggro",Discoglossus sardus,,NA,NA,NA,NA,NA,,Least Concern (LC),"IT,FR",Discoglossus_sardus,?,1,1,70,semi.aquatic,IUCN 2014,669.7105263,-2,2117,42.0478415,39.86633,42.93184,125.5,59,157,NA,D__N,Y
Anura,Alytidae,Discoglossinae,Discoglossus,,scovazzi,"Camerano, 1878",2004,Moroccan Painted Frog,Discoglossus scovazzi,,NA,NA,NA,NA,NA,,Least Concern (LC),"DZ,MA,ES",Discoglossus_scovazzi,?,1,1inf,70,semi.aquatic,IUCN 2014,145,22,268,35.595,35.29,35.9,175.5,167,184,NA,__N,Y
Anura,Arthroleptidae,,Arthroleptis,,affinis,"Ahl, 1939",NA,,Arthroleptis affinis,Arthroleptis_schoenebecki,NA,NA,NA,NA,NA,Arthroleptis schoenebecki,Least Concern (LC),TZ,Arthroleptis_affinis,1,1,1inf,45,terrestrial,IUCN 2014,1499.7,903,2568,-5.441668,-7.16667,-4.75,183.8,153,214,NA,__,Y
Anura,Arthroleptidae,,Arthroleptis,,poecilonotus,"Peters, 1863",NA,,Arthroleptis poecilonotus,,NA,NA,NA,NA,NA,,Least Concern (LC),"BJ,CM,CG,CD,CI,GQ,GA,GH,GN,GW,LR,NG,SS,TG,UG",Arthroleptis_poecilonotus,?,1,1,33.4,NA,NA,481.0273973,9,1944,4.343641486,-2.19167,8.33767,243.4459459,160,273,4650,__,Y
Anura,Arthroleptidae,,Arthroleptis,,stenodactylus,"Pfeffer, 1893",1893,"English: Common Squeaker, Shovel Footed Squeaker, Dune Squeaker, Savanna Squeaking Frog; Zulu: Umanswininiza onyawo zingamafosholo",Arthroleptis stenodactylus,Arthroleptis_lonnbergi,NA,NA,NA,NA,NA,,Least Concern (LC),"AO,BW,CD,KE,MW,MZ,ZA,TZ,ZM,ZW",Arthroleptis_stenodactylus,0&1,1,1,45,terrestrial,IUCN 2014,664.59,5,2678,-10.60562772,-28.43333,-3.30957,228.3465347,152,266,3400,D__,Y
Anura,Arthroleptidae,,Arthroleptis,,taeniatus,"Boulenger, 1906",NA,,Arthroleptis taeniatus,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,GA",Arthroleptis_taeniatus,1,1,1,24.6,NA,NA,687.25,519,862,3.3786625,2.64472,4.9533,233.25,224,237,NA,__,Y
Anura,Arthroleptidae,,Arthroleptis,,tanneri,"Grandison, 1983",NA,,Arthroleptis tanneri,Arthroleptis_schoenebecki,NA,NA,NA,NA,NA,Arthroleptis schoenebecki,Endangered (EN),TZ,Arthroleptis_tanneri,1,1,1inf,0,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Arthroleptidae,,Arthroleptis,,variabilis,"Matschie, 1893",NA,,Arthroleptis variabilis,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,CF,CG,CD,CI,GQ,GA,GH,GN,LR,NG",Arthroleptis_variabilis,0,1,1,37.8,terrestrial,IUCN 2014,717.6774194,22,1414,2.61316,-0.2258,5.05,229.3870968,187,259,NA,__,Y
Anura,Arthroleptidae,,Arthroleptis,,wahlbergii,"Smith, 1849",1849,English: Bush squeaker;  Zulu: Umanswininiza wasehlathinia,Arthroleptis wahlbergii,,NA,NA,NA,NA,NA,,Least Concern (LC),ZA,Arthroleptis_wahlbergii,?,1,1inf,34.6,terrestrial,IUCN 2014,375.2222222,7,1199,-29.55802852,-31.63333,-27.86667,193.5185185,152,218,3881,D__,Y
Anura,Arthroleptidae,,Arthroleptis,,xenodactyloides,"Hewitt, 1933",NA,Dwarf squeaker,Arthroleptis xenodactyloides,Schoutedenella_xenodactyloides,NA,NA,NA,NA,NA,Schoutedenella xenodactyloides,Least Concern (LC),"MZ,TZ,ZM,ZW",Arthroleptis_xenodactyloides,1,1,1,23.8,NA,NA,1122.941176,20,2678,-8.672747059,-20.43333,-4.81667,210.2352941,152,264,6500,D__N,Y
Anura,Arthroleptidae,,Astylosternus,,diadematus,"Werner, 1898",1898,Crowned Night Frog,Astylosternus diadematus,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,NG",Astylosternus_diadematus,1,1,1,52,semi.aquatic,IUCN 2014,1018.833333,759,1338,4.83864,4.1594,5.21667,204.8333333,187,234,NA,__,Y
Anura,Arthroleptidae,,Cardioglossa,,gracilis,"Boulenger, 1900",NA,,Cardioglossa gracilis,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,CF,CD,GQ,GA,NG",Cardioglossa_gracilis,1,1,1,40.4,semi.arboreal,IUCN 2014,801.0555556,237,1466,3.655912222,-0.0426,5.21687,226.4444444,183,256,NA,__,Y
Anura,Arthroleptidae,,Cardioglossa,,leucomystax,"(Boulenger, 1903)",NA,,Cardioglossa leucomystax,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,CG,CD,CI,GQ,GA,GH,GN,LR,NG",Cardioglossa_leucomystax,1,1,1inf,39.7,terrestrial,IUCN 2014,483.9259259,39,898,4.298227857,-0.0564,8.556,243.6071429,227,268,NA,__,Y
Anura,Arthroleptidae,,Cardioglossa,,oreas,"Amiet, 1972",NA,,Cardioglossa oreas,Cardioglossa_manengouba,_Cardioglossa_oreas_manengouba,NA,NA,NA,NA,,Endangered (EN),CM,Cardioglossa_oreas,0,1,1inf,29.7,semi.arboreal,IUCN 2014,2347.75,2105,2531,5.6642875,5.0333,6.22191,155.25,153,160,NA,__,Y
Anura,Arthroleptidae,,Leptopelis,,argenteus,"(Pfeffer, 1893)",NA,Silvery Tree Frog,Leptopelis argenteus,Hylambates_argenteus,NA,NA,NA,NA,NA,Hylambates argenteus,Least Concern (LC),"KE,MW,MZ,TZ,ZW",Leptopelis_argenteus,?,1,1inf,52,burrowing-semi.arboreal,IUCN 2014,179.2,20,478,-8.511902,-10.26667,-6.76667,256.2,244,264,2000,__,Y
Anura,Arthroleptidae,,Leptopelis,,bocagii,"(Günther, 1865)",NA,Bocage's Tree Frog,Leptopelis bocagii,Leptopelis_bocagei,NA,NA,NA,NA,NA,,Least Concern (LC),"AO,BI,CD,ET,KE,MW,MZ,NA,RW,ZA,TZ,ZM,ZW",Leptopelis_bocagii,0,1,1,58,burrowing-semi.arboreal,IUCN 2014,1072,596,1683,-7.349902778,-15.65,-1.28333,224.3888889,188,257,1450,__,Y
Anura,Arthroleptidae,,Leptopelis,,calcaratus,"(Boulenger, 1906)",NA,,Leptopelis calcaratus,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,CF,CG,CD,GQ,GA,NG",Leptopelis_calcaratus,?,1,1,57,arboreal,IUCN 2014,834.6363636,102,1472,2.177601111,-3.65319,5.92765,223.5555556,156,257,NA,__,Y
Anura,Arthroleptidae,,Leptopelis,,kivuensis,"Ahl, 1929",NA,,Leptopelis kivuensis,,NA,NA,NA,NA,NA,,Least Concern (LC),"BI,RW,UG,CD",Leptopelis_kivuensis,1,1,1inf,53.5,arboreal,Channing and Howell 2006,2132.809524,1393,2349,-1.522003333,-2.31667,0.5,160.047619,147,206,1300,__,Y
Anura,Arthroleptidae,,Leptopelis,,millsoni,"(Boulenger, 1895)",NA,,Leptopelis millsoni,,NA,NA,NA,NA,NA,,Least Concern (LC),"CM,CF,CG,CD,GA,NG",Leptopelis_millsoni,?,1,1,87,arboreal,AmphibiaWeb 2016,522.5,78,765,2.41189,0.45358,3.9333,241.4166667,235,254,NA,__,Y
